EmployeeID,Age,Gender,MaritalStatus,Education,EducationField,Department,JobRole,JobLevel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome,StockOptionLevel,PercentSalaryHike,DistanceFromHome,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,RelationshipSatisfaction,PerformanceRating,TrainingTimesLastYear,BusinessTravel,OverTime,NumCompaniesWorked,JobInvolvement,Attrition
EMP000016,32,Female,Married,5,Life Sciences,Sales,Manager,1,1,1,0,0,2953,0,15,3,1,4,3,4,3,1,Travel_Rarely,Yes,2,3,0
EMP000017,23,Male,Married,3,Medical,Sales,Manager,1,1,0,0,0,3366,1,8,9,2,2,3,2,2,3,Travel_Rarely,No,0,3,0
EMP000018,31,Male,Single,4,Medical,R&D,Research Scientist,2,2,1,0,1,5331,0,14,9,2,1,2,3,2,1,Travel_Frequently,No,0,2,1
EMP000019,24,Male,Single,3,Life Sciences,Sales,Manager,1,3,0,0,0,3444,0,18,10,2,3,3,2,2,0,Travel_Frequently,Yes,0,1,1
EMP000020,26,Male,Married,3,Marketing,HR,Human Resources,2,8,5,5,1,7411,0,11,15,4,1,4,4,3,2,Travel_Rarely,No,2,1,0
EMP000021,28,Female,Married,4,Medical,Sales,Sales Representative,2,10,2,1,1,6537,0,5,11,3,3,4,4,3,5,Travel_Rarely,Yes,0,3,1
EMP000022,33,Female,Single,4,Marketing,R&D,Laboratory Technician,2,5,2,0,0,5755,1,9,9,3,2,4,4,3,4,Non-Travel,Yes,0,3,0
EMP000023,24,Female,Single,3,Life Sciences,Sales,Sales Executive,2,1,1,1,1,5427,1,11,10,3,4,1,2,2,6,Non-Travel,No,0,3,0
EMP000024,30,Male,Single,3,Life Sciences,IT,Data Scientist,2,1,1,1,1,5754,0,16,3,3,3,4,4,2,1,Travel_Rarely,No,1,4,0
EMP000025,26,Male,Married,5,Technical Degree,IT,Data Scientist,2,4,0,0,0,5011,0,10,4,3,3,2,4,2,2,Travel_Rarely,Yes,4,4,0
EMP000026,25,Male,Divorced,2,Technical Degree,R&D,Manager,2,3,3,0,0,5690,0,12,17,4,3,4,4,3,1,Travel_Rarely,No,1,4,0
EMP000027,32,Male,Married,4,Technical Degree,Marketing,Marketing Manager,2,1,1,0,1,5151,0,19,9,4,1,2,3,3,3,Non-Travel,No,2,3,0
EMP000028,26,Male,Married,4,Life Sciences,Sales,Sales Executive,2,0,0,0,0,5519,0,16,8,2,4,2,2,3,3,Travel_Frequently,Yes,3,4,1
EMP000029,25,Male,Single,4,Life Sciences,IT,Manager,1,6,4,3,4,3919,0,7,20,2,3,3,1,3,2,Travel_Rarely,Yes,1,1,1
EMP000030,29,Male,Married,5,Marketing,R&D,Manager,2,8,1,1,0,6617,0,10,6,3,2,3,3,3,1,Non-Travel,Yes,1,2,0
EMP000031,22,Female,Single,4,Other,R&D,Research Director,1,1,0,0,0,3931,0,14,8,4,3,4,2,3,4,Non-Travel,No,2,4,0
EMP000032,26,Female,Married,3,Other,Sales,Manager,3,2,1,0,1,7900,1,7,7,3,3,2,3,3,3,Travel_Rarely,No,3,2,0
EMP000033,30,Female,Married,3,Technical Degree,Sales,Manager,1,6,1,0,1,4702,0,15,12,3,2,3,1,4,4,Non-Travel,No,3,4,0
EMP000034,19,Male,Single,3,Life Sciences,Marketing,Marketing Specialist,1,1,0,0,0,3040,0,17,6,2,1,3,2,2,1,Travel_Rarely,No,1,3,0
EMP000035,22,Female,Married,1,Technical Degree,HR,Manager,1,4,2,0,2,3744,1,7,9,1,1,4,4,3,2,Travel_Rarely,No,0,1,0
EMP000036,26,Female,Single,5,Other,Sales,Sales Representative,2,0,0,0,0,4712,0,13,22,3,2,4,1,3,3,Non-Travel,No,2,3,0
EMP000037,32,Male,Married,2,Life Sciences,R&D,Manager,1,9,2,2,0,4344,0,14,7,1,4,4,1,4,2,Non-Travel,Yes,3,2,0
EMP000038,44,Female,Married,4,Medical,Sales,Sales Executive,4,1,0,0,0,10394,1,16,10,4,1,3,3,3,1,Travel_Rarely,No,5,4,0
EMP000039,24,Female,Single,4,Marketing,Sales,Sales Executive,1,5,0,0,0,4294,0,13,8,1,4,4,4,1,1,Travel_Frequently,No,3,2,1
EMP000040,20,Female,Single,4,Life Sciences,Marketing,Marketing Specialist,2,1,1,0,0,4818,0,12,12,1,4,4,1,3,2,Non-Travel,No,2,2,0
EMP000041,21,Male,Single,4,Marketing,R&D,Research Director,1,3,0,0,0,3276,1,9,12,4,4,2,4,2,3,Travel_Rarely,No,1,3,0
EMP000042,24,Male,Single,4,Other,R&D,Research Director,1,0,0,0,0,2699,0,11,17,4,4,2,1,3,5,Travel_Rarely,No,0,2,0
EMP000043,39,Male,Single,3,Other,Operations,Operations Manager,3,3,3,0,0,6671,0,9,0,2,2,2,4,3,0,Travel_Rarely,No,0,3,0
EMP000044,20,Male,Single,4,Other,R&D,Research Director,1,2,0,0,0,3117,0,8,0,1,4,1,4,3,6,Travel_Rarely,Yes,2,4,1
EMP000045,27,Female,Married,3,Medical,R&D,Manager,2,3,3,1,0,5446,0,22,22,1,3,4,3,2,2,Non-Travel,No,2,3,1
EMP000046,30,Female,Single,5,Medical,R&D,Research Scientist,2,9,4,1,1,6079,0,16,14,3,4,4,3,4,4,Travel_Rarely,No,4,3,0
EMP000047,24,Male,Single,2,Technical Degree,HR,Manager,1,6,6,1,4,4337,1,15,12,4,3,3,4,4,5,Travel_Rarely,No,6,2,0
EMP000048,33,Female,Single,3,Medical,HR,Manager,2,0,0,0,0,4889,0,18,5,3,2,3,1,3,3,Travel_Frequently,Yes,4,1,1
EMP000049,37,Female,Married,3,Life Sciences,Sales,Sales Representative,3,3,0,0,0,7732,1,16,1,2,4,3,2,3,1,Travel_Rarely,Yes,0,4,0
EMP000050,21,Male,Single,4,Technical Degree,IT,Software Engineer,2,3,0,0,0,5727,1,8,4,3,3,3,1,3,0,Travel_Rarely,Yes,0,3,0
EMP000051,32,Male,Single,4,Life Sciences,IT,Data Scientist,2,8,0,0,0,6594,0,14,7,3,4,4,2,3,1,Travel_Rarely,No,3,2,0
EMP000052,29,Female,Married,3,Life Sciences,HR,Human Resources,1,0,0,0,0,3325,0,14,6,3,4,4,4,4,3,Non-Travel,Yes,2,4,0
EMP000053,26,Female,Married,2,Life Sciences,Marketing,Marketing Manager,2,4,4,0,3,4808,0,7,4,4,4,2,3,2,2,Travel_Rarely,No,0,4,0
EMP000054,24,Male,Single,3,Other,R&D,Laboratory Technician,1,0,0,0,0,3693,0,16,13,4,3,4,2,1,1,Non-Travel,Yes,0,4,0
EMP000055,36,Male,Married,3,Life Sciences,Sales,Sales Representative,2,7,3,0,1,6215,0,13,4,4,3,3,3,2,1,Travel_Frequently,No,0,2,0
EMP000056,21,Male,Single,3,Medical,IT,Data Scientist,1,1,0,0,0,3563,0,13,4,4,4,4,3,3,4,Travel_Frequently,No,2,3,0
EMP000057,25,Female,Single,3,Human Resources,Sales,Sales Representative,1,1,0,0,0,2694,0,15,7,3,3,4,3,3,3,Travel_Rarely,No,0,3,0
EMP000058,31,Male,Married,4,Medical,Sales,Manager,1,7,1,0,0,4397,0,12,8,2,4,3,3,3,1,Travel_Rarely,No,1,3,0
EMP000059,28,Female,Single,3,Life Sciences,Sales,Manager,3,9,0,0,0,9338,2,11,16,2,3,1,3,2,3,Travel_Rarely,No,0,3,0
EMP000060,35,Male,Married,5,Marketing,IT,Data Scientist,3,2,1,1,0,8901,0,17,6,4,1,3,2,2,7,Travel_Rarely,No,3,2,0
EMP000061,23,Male,Single,3,Life Sciences,Sales,Sales Representative,1,3,3,0,0,4255,0,16,9,1,4,1,2,2,1,Travel_Frequently,Yes,2,3,1
EMP000062,34,Female,Single,4,Life Sciences,R&D,Laboratory Technician,1,5,1,1,1,4026,0,5,13,2,1,3,1,4,1,Travel_Frequently,No,0,1,0
EMP000063,30,Male,Married,4,Other,Sales,Manager,1,6,2,0,2,3964,0,6,21,3,2,4,3,3,2,Travel_Rarely,No,0,4,0
EMP000064,29,Female,Married,3,Life Sciences,IT,Software Engineer,3,7,0,0,0,9461,1,11,7,1,3,4,4,3,3,Travel_Frequently,No,1,3,0
EMP000065,22,Male,Single,3,Technical Degree,R&D,Manager,1,2,0,0,0,2405,1,17,15,1,4,3,3,3,2,Travel_Rarely,No,2,2,0
EMP000066,31,Female,Single,3,Marketing,Sales,Sales Representative,1,3,1,0,1,3410,0,5,11,3,3,4,2,3,4,Travel_Frequently,Yes,1,3,0
EMP000067,24,Male,Married,2,Life Sciences,IT,Software Engineer,2,0,0,0,0,3450,0,14,8,4,4,3,2,4,5,Travel_Rarely,Yes,4,1,0
EMP000068,50,Male,Divorced,3,Marketing,IT,Manager,4,14,3,1,0,16527,2,13,4,3,2,3,3,4,2,Non-Travel,Yes,4,2,1
EMP000069,23,Female,Single,3,Life Sciences,R&D,Manager,1,5,1,1,1,4368,0,10,5,2,2,3,1,4,2,Travel_Rarely,No,1,3,0
EMP000070,23,Male,Single,2,Medical,R&D,Research Director,1,2,0,0,0,3673,0,9,3,2,2,4,3,2,1,Travel_Rarely,No,1,2,0
EMP000071,31,Female,Married,3,Marketing,HR,Manager,2,2,0,0,0,4783,0,7,9,3,3,2,2,3,1,Travel_Rarely,No,2,2,1
EMP000072,19,Male,Single,3,Life Sciences,Operations,Operations Manager,2,0,0,0,0,3998,1,9,6,4,3,2,1,3,2,Travel_Rarely,No,0,3,0
EMP000073,24,Female,Single,2,Technical Degree,Sales,Manager,1,3,1,1,1,4025,0,15,11,3,2,2,4,2,2,Non-Travel,No,0,3,0
EMP000074,28,Female,Single,2,Life Sciences,R&D,Manager,2,5,0,0,0,7887,0,11,17,1,3,3,1,4,4,Travel_Rarely,No,1,2,0
EMP000075,27,Female,Divorced,4,Medical,R&D,Manager,1,9,0,0,0,5085,0,17,3,2,2,3,4,1,1,Travel_Rarely,Yes,0,2,1
EMP000076,20,Female,Single,4,Technical Degree,HR,Human Resources,2,2,0,0,0,6538,0,14,15,3,4,3,4,2,4,Travel_Rarely,No,2,4,1
EMP000077,36,Female,Married,5,Medical,IT,Software Engineer,4,5,0,0,0,13346,1,8,4,3,2,3,3,2,1,Non-Travel,No,0,3,0
EMP000078,39,Female,Married,2,Other,Sales,Sales Executive,3,7,0,0,0,9050,1,7,31,1,4,3,4,3,3,Non-Travel,No,0,2,0
EMP000079,28,Male,Married,2,Marketing,Sales,Sales Executive,2,3,0,0,0,6879,0,18,7,3,3,1,4,3,2,Travel_Rarely,Yes,0,1,0
EMP000080,20,Female,Single,2,Human Resources,Marketing,Marketing Manager,1,0,0,0,0,2973,0,20,11,4,4,3,2,4,1,Travel_Rarely,Yes,0,4,0
EMP000081,19,Male,Single,3,Life Sciences,IT,Data Scientist,2,1,0,0,0,5939,1,17,2,2,4,3,3,4,2,Travel_Rarely,No,0,4,0
EMP000082,23,Male,Single,4,Other,Operations,Operations Manager,1,2,0,0,0,3336,0,11,7,3,3,2,3,3,0,Travel_Frequently,No,1,2,0
EMP000083,31,Male,Married,3,Marketing,IT,Software Engineer,1,13,1,1,1,5465,0,9,29,3,4,2,3,3,4,Travel_Rarely,No,1,3,0
EMP000084,22,Female,Married,4,Technical Degree,R&D,Research Scientist,1,2,1,1,1,3309,1,19,9,3,3,1,3,3,2,Travel_Frequently,No,0,2,0
EMP000085,22,Male,Single,4,Other,Sales,Sales Representative,2,4,0,0,0,6114,0,12,5,3,3,4,2,2,1,Travel_Rarely,No,2,3,0
EMP000086,30,Female,Single,5,Marketing,HR,Manager,3,3,3,1,0,8100,0,7,25,4,3,3,4,3,1,Non-Travel,No,3,1,0
EMP000087,26,Male,Single,2,Other,R&D,Manager,2,1,1,1,0,6758,0,13,3,2,3,2,4,4,2,Travel_Rarely,Yes,1,1,1
EMP000088,30,Male,Married,2,Marketing,R&D,Research Director,1,12,2,0,1,5535,0,5,6,2,2,3,4,1,0,Travel_Rarely,No,0,2,0
EMP000089,34,Female,Single,3,Marketing,R&D,Research Director,2,4,3,0,1,5667,0,11,1,2,2,2,2,1,1,Travel_Rarely,No,1,1,0
EMP000090,25,Male,Single,1,Medical,Operations,Operations Specialist,2,2,2,2,1,4892,1,14,3,3,4,3,3,1,7,Travel_Rarely,No,0,4,1
EMP000091,27,Male,Married,5,Life Sciences,Sales,Sales Representative,1,0,0,0,0,3261,0,16,16,2,2,2,4,3,2,Travel_Frequently,No,0,3,1
EMP000092,25,Male,Single,3,Marketing,Sales,Sales Representative,3,7,3,0,3,6698,2,8,15,3,3,3,4,3,3,Travel_Rarely,Yes,2,3,0
EMP000093,28,Female,Single,4,Human Resources,HR,Manager,2,10,1,1,0,6856,0,13,19,4,3,2,3,3,2,Non-Travel,No,0,2,0
EMP000094,27,Male,Married,3,Technical Degree,Marketing,Marketing Manager,2,2,2,0,0,5985,1,14,20,2,4,4,2,2,4,Non-Travel,No,1,2,0
EMP000095,31,Male,Single,3,Technical Degree,Marketing,Marketing Specialist,2,0,0,0,0,4146,0,13,6,1,2,3,2,1,2,Travel_Rarely,Yes,2,3,0
EMP000096,35,Female,Single,2,Marketing,HR,Human Resources,3,0,0,0,0,8466,0,16,6,3,3,1,3,3,3,Travel_Rarely,No,1,1,0
EMP000097,33,Male,Married,3,Medical,Sales,Manager,1,0,0,0,0,3221,0,12,10,3,3,3,1,2,5,Travel_Rarely,No,3,3,0
EMP000098,21,Female,Single,4,Life Sciences,R&D,Research Director,1,3,0,0,0,3471,0,7,2,3,4,2,4,3,1,Travel_Rarely,No,1,4,0
EMP000099,26,Male,Married,5,Life Sciences,Marketing,Marketing Manager,1,8,3,3,0,4665,0,15,7,3,3,3,2,3,0,Travel_Rarely,No,3,4,0
EMP000100,24,Male,Single,4,Life Sciences,R&D,Research Scientist,2,2,0,0,0,5339,0,9,17,2,1,4,2,4,3,Travel_Rarely,No,1,4,1
EMP000101,27,Female,Married,3,Technical Degree,IT,Manager,3,2,2,0,2,7296,0,17,4,2,3,2,1,1,2,Travel_Frequently,Yes,0,4,1
EMP000102,37,Female,Married,1,Technical Degree,R&D,Research Director,3,3,1,0,1,10650,1,12,16,3,3,3,3,3,1,Travel_Frequently,No,2,2,0
EMP000103,22,Female,Single,4,Life Sciences,Sales,Sales Representative,1,0,0,0,0,3191,0,14,0,4,4,4,3,4,2,Travel_Rarely,No,2,3,0
EMP000104,24,Female,Single,1,Life Sciences,HR,Manager,1,0,0,0,0,2950,0,17,2,2,1,4,3,3,3,Travel_Rarely,No,0,4,0
EMP000105,27,Male,Single,5,Medical,IT,Data Scientist,2,3,0,0,0,5575,0,11,12,3,3,2,3,4,2,Non-Travel,Yes,0,2,0
EMP000106,25,Male,Married,3,Life Sciences,Operations,Operations Manager,3,1,0,0,0,9263,0,14,22,2,3,3,2,4,5,Travel_Rarely,Yes,2,3,1
EMP000107,24,Male,Single,2,Medical,IT,Software Engineer,1,3,1,0,0,2801,0,13,3,2,3,2,3,3,3,Travel_Frequently,No,7,4,0
EMP000108,30,Female,Married,3,Life Sciences,HR,Human Resources,3,0,0,0,0,7790,0,12,23,1,4,3,1,3,2,Non-Travel,No,1,3,1
EMP000109,28,Female,Married,5,Medical,HR,Human Resources,1,8,5,1,0,4034,0,18,3,2,1,4,2,2,4,Travel_Frequently,No,0,3,0
EMP000110,25,Female,Married,3,Other,IT,Data Scientist,2,7,0,0,0,6965,1,16,10,4,3,3,4,3,2,Non-Travel,No,0,4,0
EMP000111,20,Male,Single,3,Medical,Sales,Manager,1,2,2,0,2,3741,1,14,7,1,3,4,4,4,8,Travel_Rarely,No,1,3,0
EMP000112,32,Female,Single,2,Technical Degree,Operations,Operations Specialist,2,3,3,3,0,5367,1,6,3,1,3,1,3,3,0,Travel_Rarely,No,0,4,0
EMP000113,24,Female,Married,4,Marketing,R&D,Research Scientist,2,2,1,0,1,5751,0,15,6,3,3,2,4,2,3,Travel_Rarely,No,1,3,0
EMP000114,43,Female,Married,2,Medical,Operations,Operations Specialist,4,5,0,0,0,13732,3,15,12,3,4,4,3,4,0,Travel_Rarely,No,1,4,0
EMP000115,38,Female,Married,4,Technical Degree,IT,Software Engineer,4,7,3,0,1,16365,1,10,30,4,1,3,1,4,0,Travel_Rarely,No,2,3,0
EMP000116,34,Female,Married,5,Marketing,Sales,Sales Representative,2,8,2,0,1,7026,0,15,1,2,2,4,3,3,2,Travel_Rarely,No,0,3,0
EMP000117,33,Male,Married,5,Life Sciences,Sales,Manager,2,2,1,0,1,4550,0,12,16,3,3,4,4,3,3,Travel_Frequently,Yes,0,3,1
EMP000118,37,Male,Married,2,Life Sciences,R&D,Research Scientist,2,1,1,0,1,4653,0,10,9,4,4,3,1,4,2,Non-Travel,Yes,0,2,1
EMP000119,36,Male,Married,4,Technical Degree,R&D,Laboratory Technician,2,2,2,0,0,5488,0,9,15,4,3,3,3,2,4,Travel_Frequently,Yes,1,4,0
EMP000120,30,Male,Married,2,Medical,R&D,Research Scientist,2,0,0,0,0,3469,0,17,25,3,1,3,3,4,5,Travel_Rarely,Yes,0,3,1
EMP000121,31,Male,Married,4,Medical,HR,Manager,1,2,0,0,0,3923,0,12,10,3,3,4,2,3,2,Non-Travel,Yes,1,1,0
EMP000122,39,Male,Single,4,Life Sciences,R&D,Research Director,2,1,0,0,0,5471,1,9,21,1,2,3,4,3,4,Travel_Rarely,No,1,2,0
EMP000123,30,Male,Married,3,Life Sciences,Sales,Sales Executive,2,7,2,0,1,5171,1,12,9,3,3,3,3,4,1,Travel_Frequently,Yes,0,4,0
EMP000124,23,Female,Single,5,Technical Degree,Operations,Operations Manager,1,5,0,0,0,3984,0,10,5,3,3,1,2,4,3,Travel_Rarely,No,1,1,0
EMP000125,36,Female,Married,4,Technical Degree,R&D,Laboratory Technician,3,0,0,0,0,11151,1,10,5,4,2,3,3,3,3,Travel_Frequently,No,4,2,1
EMP000126,32,Female,Single,3,Marketing,Marketing,Marketing Specialist,2,0,0,0,0,4612,0,13,3,3,4,4,4,4,0,Travel_Rarely,No,2,2,0
EMP000127,20,Male,Single,4,Life Sciences,Sales,Manager,1,2,0,0,0,2747,0,14,17,3,3,3,4,4,1,Travel_Rarely,No,2,2,0
EMP000128,27,Male,Married,1,Other,IT,Software Engineer,2,4,1,0,1,5389,0,6,28,4,2,4,4,3,0,Non-Travel,Yes,5,3,0
EMP000129,25,Male,Divorced,3,Marketing,Sales,Sales Representative,2,7,2,0,2,5104,1,12,4,2,2,4,1,4,0,Travel_Rarely,No,2,4,0
EMP000130,38,Female,Married,3,Technical Degree,IT,Software Engineer,3,17,5,0,0,11726,0,10,6,2,4,3,2,3,0,Travel_Rarely,Yes,1,4,0
EMP000131,26,Female,Single,5,Life Sciences,IT,Software Engineer,1,6,0,0,0,3732,0,18,5,2,2,2,2,2,5,Travel_Frequently,Yes,1,3,0
EMP000132,23,Male,Single,3,Medical,Marketing,Marketing Specialist,1,3,3,2,1,3894,0,15,8,2,4,2,2,4,4,Travel_Rarely,No,1,3,0
EMP000133,36,Female,Married,4,Other,R&D,Research Director,3,2,1,0,0,8696,0,8,5,4,3,3,3,4,3,Travel_Frequently,No,1,2,0
EMP000134,24,Male,Single,4,Medical,Sales,Manager,1,6,3,3,1,3903,0,20,12,3,3,2,3,3,1,Travel_Frequently,Yes,0,3,0
EMP000135,20,Female,Single,4,Technical Degree,Marketing,Marketing Specialist,1,2,2,0,0,2736,1,6,6,4,3,3,1,2,2,Travel_Frequently,Yes,0,4,1
EMP000136,31,Male,Single,4,Technical Degree,R&D,Laboratory Technician,3,2,0,0,0,8771,2,14,2,4,4,3,4,2,1,Non-Travel,No,0,4,0
EMP000137,30,Male,Married,3,Life Sciences,Sales,Sales Executive,2,4,2,0,0,5860,0,10,3,4,4,3,1,4,2,Non-Travel,Yes,0,3,0
EMP000138,29,Male,Married,4,Technical Degree,R&D,Research Scientist,1,1,1,0,1,2508,0,18,16,1,3,2,4,3,1,Non-Travel,Yes,1,3,0
EMP000139,31,Female,Single,3,Life Sciences,Sales,Sales Representative,2,9,2,2,0,6205,0,9,17,1,3,4,2,2,3,Non-Travel,No,1,1,0
EMP000140,34,Female,Married,4,Technical Degree,R&D,Manager,1,6,1,1,1,3499,1,10,6,3,3,3,1,1,1,Non-Travel,No,0,4,0
EMP000141,30,Female,Single,1,Human Resources,R&D,Laboratory Technician,2,2,0,0,0,4713,0,15,11,3,2,2,1,2,2,Travel_Rarely,No,2,3,0
EMP000142,25,Male,Married,3,Human Resources,R&D,Manager,1,7,0,0,0,4290,0,9,5,1,3,1,3,3,4,Travel_Rarely,No,0,2,0
EMP000143,22,Male,Single,5,Technical Degree,R&D,Research Scientist,1,4,4,0,4,3505,0,11,9,1,1,3,3,2,3,Travel_Rarely,Yes,1,1,0
EMP000144,20,Female,Single,3,Marketing,R&D,Research Scientist,1,1,1,0,0,2636,0,17,6,3,1,4,3,3,5,Travel_Rarely,No,1,2,0
EMP000145,33,Female,Divorced,3,Technical Degree,IT,Manager,2,1,0,0,0,5452,1,13,11,4,3,3,3,4,4,Travel_Rarely,No,8,3,0
EMP000146,26,Female,Single,2,Technical Degree,Marketing,Marketing Specialist,2,8,0,0,0,6989,1,5,6,3,4,3,2,4,3,Non-Travel,No,1,4,0
EMP000147,24,Male,Single,2,Life Sciences,Sales,Sales Representative,1,4,2,2,1,4130,0,9,17,3,4,4,1,3,4,Travel_Rarely,No,6,4,1
EMP000148,20,Female,Single,3,Life Sciences,IT,Software Engineer,1,2,2,2,1,4138,1,10,2,3,4,3,3,4,2,Travel_Frequently,No,1,4,0
EMP000149,26,Male,Married,4,Marketing,Operations,Operations Manager,2,2,1,1,1,5703,0,9,17,4,2,2,1,3,4,Travel_Frequently,No,0,3,0
EMP000150,32,Female,Married,5,Life Sciences,IT,Software Engineer,2,4,4,4,0,5040,0,14,6,2,2,3,4,2,2,Travel_Frequently,No,9,2,1
EMP000151,30,Female,Single,3,Other,Operations,Operations Specialist,1,4,0,0,0,3521,0,7,3,3,3,4,4,4,4,Non-Travel,Yes,2,2,0
EMP000152,23,Male,Single,3,Medical,R&D,Research Director,1,1,1,1,1,3358,1,17,8,4,2,2,1,3,3,Travel_Rarely,Yes,1,2,0
EMP000153,26,Male,Married,4,Life Sciences,IT,Software Engineer,1,8,0,0,0,4770,1,14,7,2,2,2,4,4,3,Travel_Rarely,No,2,2,0
EMP000154,23,Male,Single,3,Medical,IT,Data Scientist,1,5,0,0,0,3597,1,11,18,3,2,3,3,3,5,Travel_Rarely,Yes,1,3,0
EMP000155,20,Male,Single,5,Other,R&D,Manager,1,2,1,1,1,3789,0,18,4,3,4,3,3,3,2,Travel_Frequently,No,0,1,0
EMP000156,41,Female,Married,3,Other,IT,Data Scientist,3,1,0,0,0,6792,0,12,8,3,2,2,4,2,2,Travel_Rarely,Yes,0,2,0
EMP000157,24,Male,Married,3,Life Sciences,R&D,Laboratory Technician,2,5,0,0,0,4848,0,11,9,1,4,3,2,2,2,Travel_Frequently,No,0,3,0
EMP000158,37,Female,Married,3,Technical Degree,Sales,Sales Representative,4,8,0,0,0,14625,2,6,10,3,3,3,1,2,2,Travel_Rarely,Yes,1,2,0
EMP000159,26,Female,Single,4,Marketing,Sales,Manager,1,8,0,0,0,4288,0,20,8,3,4,3,3,2,0,Travel_Rarely,Yes,0,4,0
EMP000160,32,Female,Married,4,Marketing,IT,Software Engineer,2,12,3,0,3,6987,0,14,4,4,1,1,4,2,4,Travel_Rarely,No,1,2,0
EMP000161,33,Female,Single,3,Technical Degree,IT,Software Engineer,1,0,0,0,0,2719,0,13,10,1,2,3,3,1,5,Travel_Rarely,No,9,3,0
EMP000162,29,Female,Married,2,Life Sciences,R&D,Laboratory Technician,2,1,1,0,0,5301,1,16,10,3,3,3,3,2,2,Non-Travel,No,1,4,0
EMP000163,32,Female,Divorced,5,Marketing,R&D,Manager,2,6,0,0,0,5918,0,18,19,2,1,1,4,3,3,Non-Travel,Yes,1,3,1
EMP000164,32,Male,Married,4,Medical,Sales,Sales Executive,2,8,0,0,0,6577,0,13,18,3,2,4,4,3,1,Non-Travel,No,0,3,0
EMP000165,35,Female,Single,1,Life Sciences,R&D,Manager,2,5,0,0,0,6585,0,6,14,4,3,3,1,3,1,Travel_Rarely,No,3,3,0
EMP000166,20,Female,Single,4,Life Sciences,Marketing,Marketing Specialist,1,0,0,0,0,2768,0,16,4,3,4,4,2,2,1,Travel_Rarely,No,2,4,0
EMP000167,24,Male,Single,4,Life Sciences,Marketing,Marketing Manager,1,4,3,1,3,4005,0,8,2,2,4,2,3,4,3,Travel_Rarely,No,3,1,0
EMP000168,45,Female,Divorced,3,Marketing,IT,Software Engineer,3,6,0,0,0,11015,1,14,8,3,3,4,1,4,2,Travel_Rarely,No,0,3,0
EMP000169,19,Female,Married,1,Life Sciences,Operations,Operations Specialist,1,0,0,0,0,2490,0,12,4,1,4,3,3,3,1,Non-Travel,No,1,3,0
